sample_id,accession,assembly,R1,R2,read_type
,SRR6357070,,,,paired
,SRR390728,,,,single
sample_1,SRR5898936,co_assembly_A,,,paired
sample_2,SRR5898937,co_assembly_A,,,paired
,SRR6702609,,,,nanopore
,SRR12507025,,,,pacbio
,SRR12507026,,,,pacbio
# local_paired,,local_assembly,/full/path/to/R1.fastq.gz,/full/path/to/R2.fastq.gz,paired
# local_single,,local_single_assembly,/full/path/to/single.fastq.gz,,single
# local_nanopore,,nanopore_assembly,/full/path/to/nanopore.fastq.gz,,nanopore
# local_pacbio,,pacbio_assembly,/full/path/to/pacbio.fastq.gz,,pacbio
# mixed_1,SRR123456,error_assembly,,,paired
# mixed_2,SRR654321,error_assembly,,,single
